tarjeta;es;Fecha;Hora;Tipo
PF4217;A;10/02/2020;1300;;
PF0277;A;10/02/2020;1300;;
PF5857;A;10/02/2020;1301;;
PF1168;A;10/02/2020;1303;;
PF1556;A;10/02/2020;1303;;
PF0552;A;10/02/2020;1303;;
PF7903;A;10/02/2020;1303;;
PF7905;A;10/02/2020;1303;;
PF0229;A;10/02/2020;1357;;
PF0229;A;10/02/2020;1357;;
PF4992;A;10/02/2020;1357;;
PF1865;A;10/02/2020;1200;;
PF1860;A;10/02/2020;1200;;
PF1756;A;10/02/2020;1200;;
PF1869;A;10/02/2020;1200;;
PF1867;A;10/02/2020;1200;;
PF1897;A;10/02/2020;1200;;
PF0530;A;10/02/2020;1200;;
PF0281;A;10/02/2020;1200;;
PF3375;A;10/02/2020;1200;;
PF0215;A;10/02/2020;1200;;
PF1551;A;10/02/2020;1201;;
PF1765;A;10/02/2020;1201;;
PF2068;A;10/02/2020;1201;;
PF0222;A;10/02/2020;1200;;
PF0536;A;10/02/2020;1201;;
PF1883;A;10/02/2020;1203;;
PF1870;A;10/02/2020;1203;;
PF0221;A;10/02/2020;1203;;
PF2194;A;10/02/2020;1203;;
PF0548;A;10/02/2020;1206;;
PF2952;A;10/02/2020;1208;;
PF0534;A;10/02/2020;1209;;
PF0532;A;10/02/2020;1209;;
PF0540;A;10/02/2020;1209;;
PF5860;A;10/02/2020;1209;;
PF0530;A;10/02/2020;1217;;
PF0535;A;10/02/2020;1217;;
PF4882;A;10/02/2020;1218;;
PF1897;A;10/02/2020;1218;;
PF1948;A;10/02/2020;1219;;
PF1881;A;10/02/2020;1220;;
PF0490;A;10/02/2020;1220;;
PF1946;A;10/02/2020;1220;;
PF1945;A;10/02/2020;1220;;
PF1951;A;10/02/2020;1220;;
PF0469;A;10/02/2020;1220;;
PF1944;A;10/02/2020;1220;;
PF0477;A;10/02/2020;1220;;
PF1856;A;10/02/2020;1220;;
PF1952;A;10/02/2020;1221;;
PF1021;A;10/02/2020;1221;;
PF1873;A;10/02/2020;1221;;
PF1947;A;10/02/2020;1221;;
PF2068;A;10/02/2020;1221;;
PF0548;A;10/02/2020;1222;;
PF1765;A;10/02/2020;1222;;
PF1558;A;10/02/2020;1224;;
PF4878;A;10/02/2020;1224;;
PF2901;A;10/02/2020;1224;;
PF4019;A;10/02/2020;1224;;
PF7904;A;10/02/2020;1224;;
PF1551;A;10/02/2020;1224;;
PF2919;A;10/02/2020;1224;;
PF4099;A;10/02/2020;1224;;
PF2920;A;10/02/2020;1224;;
PF2940;A;10/02/2020;1303;;
PF4848;A;10/02/2020;1303;;
PF0547;A;10/02/2020;1303;;
PF1840;A;10/02/2020;1305;;
PF6097;A;10/02/2020;1307;;
PF5364;A;10/02/2020;1308;;
PF1844;A;10/02/2020;1309;;
PF0276;A;10/02/2020;1308;;
PF4218;A;10/02/2020;1309;;
PF0523;A;10/02/2020;1310;;
PF0491;A;10/02/2020;1310;;
PF0475;A;10/02/2020;1311;;
PF0500;A;10/02/2020;1312;;
PF0579;A;10/02/2020;1311;;
PF3187;A;10/02/2020;1311;;
PF0492;A;10/02/2020;1312;;
PF2884;A;10/02/2020;1312;;
PF2883;A;10/02/2020;1312;;
PF0488;A;10/02/2020;1313;;
PF7819;A;10/02/2020;1313;;
PF3021;A;10/02/2020;1312;;
PF3736;A;10/02/2020;1312;;
PF3830;A;10/02/2020;1312;;
PF5859;A;10/02/2020;1313;;
PF0274;A;10/02/2020;1313;;
PF1757;A;10/02/2020;1314;;
PF6149;A;10/02/2020;1313;;
PF0226;A;10/02/2020;1314;;
PF1755;A;10/02/2020;1315;;
PF0494;A;10/02/2020;1315;;
PF0493;A;10/02/2020;1316;;
PF7062;A;10/02/2020;1314;;
PF0467;A;10/02/2020;1316;;
PF3944;A;10/02/2020;1316;;
PF0471;A;10/02/2020;1316;;
PF5363;A;10/02/2020;1316;;
PF0218;A;10/02/2020;1322;;
PF0220;A;10/02/2020;1325;;
PF3297;A;10/02/2020;1327;;
PF0229;A;10/02/2020;1327;;
PF4992;A;10/02/2020;1327;;
PF0207;A;10/02/2020;1327;;
PF1863;A;10/02/2020;1331;;
PF0276;A;10/02/2020;1330;;
PF2193;A;10/02/2020;1341;;
PF5857;A;10/02/2020;1343;;
PF3187;A;10/02/2020;1344;;
PF3187;A;10/02/2020;1344;;
PF7062;A;10/02/2020;1345;;
PF0213;A;10/02/2020;1345;;
PF6149;A;10/02/2020;1345;;
PF0226;A;10/02/2020;1346;;
PF3297;A;10/02/2020;1350;;
PF0220;A;10/02/2020;1353;;
PF0218;A;10/02/2020;1353;;
PF0207;A;10/02/2020;1357;;
PF0207;A;10/02/2020;1357;;
PF0207;A;10/02/2020;1357;;

