tarjeta;es;Fecha;Hora;Tipo
PU0753;E;06/02/2020;0706;;
PU0605;E;06/02/2020;0716;;
PU0555;E;06/02/2020;0716;;
PU0607;E;06/02/2020;0716;;
PU0540;E;06/02/2020;0717;;
PU0570;E;06/02/2020;0720;;
PU0559;E;06/02/2020;0720;;
PU0543;E;06/02/2020;0721;;
PU0717;E;06/02/2020;0721;;
PU0644;E;06/02/2020;0722;;
PU0893;E;06/02/2020;0722;;
PU0542;E;06/02/2020;0723;;
PU0550;E;06/02/2020;0724;;
PU0894;E;06/02/2020;0724;;
PU0567;E;06/02/2020;0725;;
PU0609;E;06/02/2020;0725;;
PU0604;E;06/02/2020;0725;;
PU0526;E;06/02/2020;0726;;
PU0608;E;06/02/2020;0726;;
PU0561;E;06/02/2020;0726;;
PU0562;E;06/02/2020;0726;;
PU0680;E;06/02/2020;0726;;
PU0558;E;06/02/2020;0726;;
PU0522;E;06/02/2020;0726;;
PU0521;E;06/02/2020;0727;;
PU0541;E;06/02/2020;0727;;
PU0560;E;06/02/2020;0727;;
PU0569;E;06/02/2020;0727;;
PU0903;E;06/02/2020;0727;;
PU0557;E;06/02/2020;0727;;
PU0548;E;06/02/2020;0728;;
PU0610;E;06/02/2020;0728;;
PU0553;E;06/02/2020;0728;;
PU0552;E;06/02/2020;0728;;
PU0563;E;06/02/2020;0728;;
PU0568;E;06/02/2020;0730;;
PU0549;E;06/02/2020;0731;;
PU0536;E;06/02/2020;0731;;
PU0565;E;06/02/2020;0731;;
PU0566;E;06/02/2020;0731;;
PU0564;E;06/02/2020;0731;;
PU0551;E;06/02/2020;0731;;
PU0681;E;06/02/2020;0733;;
PU0545;E;06/02/2020;0733;;
PU0544;E;06/02/2020;0734;;
PU0042;E;06/02/2020;0646;;
PU0046;E;06/02/2020;0652;;
PU0341;E;06/02/2020;0652;;
PU0028;E;06/02/2020;0659;;
PU0005;E;06/02/2020;0701;;
PU0008;E;06/02/2020;0702;;
PU0032;E;06/02/2020;0710;;
PU0075;E;06/02/2020;0710;;
PU0097;E;06/02/2020;0711;;
PU0048;E;06/02/2020;0712;;
PU0056;E;06/02/2020;0714;;
PU0037;E;06/02/2020;0714;;
PU0009;E;06/02/2020;0714;;
PU0006;E;06/02/2020;0715;;
PU0021;E;06/02/2020;0716;;
PU0020;E;06/02/2020;0717;;
PU0044;E;06/02/2020;0718;;
PU0039;E;06/02/2020;0719;;
PU0859;E;06/02/2020;0720;;
PU0014;E;06/02/2020;0722;;
PU0015;E;06/02/2020;0722;;
PU0031;E;06/02/2020;0723;;
PU0103;E;06/02/2020;0723;;
PU0049;E;06/02/2020;0723;;
PU0098;E;06/02/2020;0724;;
PU0019;E;06/02/2020;0725;;
PU0022;E;06/02/2020;0725;;
PU0012;E;06/02/2020;0727;;
PU0008;A;06/02/2020;1211;;
PU0097;A;06/02/2020;1216;;
PU0020;A;06/02/2020;1216;;
PU0049;A;06/02/2020;1220;;
PU0553;A;06/02/2020;1223;;
PU0559;A;06/02/2020;1223;;
PU0893;A;06/02/2020;1224;;
PU0098;A;06/02/2020;1225;;
PU0526;A;06/02/2020;1226;;
PU0015;A;06/02/2020;1226;;
PU0012;A;06/02/2020;1226;;
PU0561;A;06/02/2020;1228;;
PU0543;A;06/02/2020;1228;;
PU0563;A;06/02/2020;1229;;
PU0542;A;06/02/2020;1229;;
PU0569;A;06/02/2020;1229;;
PU0566;A;06/02/2020;1229;;
PU0536;A;06/02/2020;1230;;
PU0549;A;06/02/2020;1230;;
PU0568;A;06/02/2020;1230;;
PU0005;A;06/02/2020;1230;;
PU0564;A;06/02/2020;1230;;
PU0009;A;06/02/2020;1230;;
PU0048;A;06/02/2020;1230;;
PU0610;A;06/02/2020;1230;;
PU0562;A;06/02/2020;1230;;
PU0609;A;06/02/2020;1230;;
PU0859;A;06/02/2020;1230;;
PU0605;A;06/02/2020;1230;;
PU0006;A;06/02/2020;1230;;
PU0037;A;06/02/2020;1230;;
PU0032;A;06/02/2020;1230;;
PU0548;A;06/02/2020;1230;;
PU0544;A;06/02/2020;1230;;
PU0545;A;06/02/2020;1230;;
PU0031;A;06/02/2020;1230;;
PU0903;A;06/02/2020;1230;;
PU0570;A;06/02/2020;1230;;
PU0039;A;06/02/2020;1230;;
PU0557;A;06/02/2020;1230;;
PU0022;A;06/02/2020;1230;;
PU0540;A;06/02/2020;1231;;
PU0565;A;06/02/2020;1231;;
PU0558;A;06/02/2020;1231;;
PU0075;A;06/02/2020;1231;;
PU0567;A;06/02/2020;1231;;
PU0550;A;06/02/2020;1231;;
PU0541;A;06/02/2020;1231;;
PU0551;A;06/02/2020;1231;;
PU0521;A;06/02/2020;1231;;
PU0522;A;06/02/2020;1231;;
PU0604;A;06/02/2020;1231;;
PU0681;A;06/02/2020;1231;;
PU0644;A;06/02/2020;1231;;
PU0552;A;06/02/2020;1231;;
PU0560;A;06/02/2020;1231;;
PU0555;A;06/02/2020;1231;;
PU0555;A;06/02/2020;1231;;
PU0680;A;06/02/2020;1231;;
PU0607;A;06/02/2020;1232;;
PU0894;A;06/02/2020;1232;;
PU0608;A;06/02/2020;1232;;
PU0717;A;06/02/2020;1233;;
PU0014;A;06/02/2020;1233;;
PU0021;A;06/02/2020;1239;;
PU0009;A;06/02/2020;1242;;
PU0005;A;06/02/2020;1243;;
PU0039;A;06/02/2020;1243;;
PU0075;A;06/02/2020;1244;;
PU0006;A;06/02/2020;1246;;
PU0048;A;06/02/2020;1246;;
PU0859;A;06/02/2020;1246;;
PU0037;A;06/02/2020;1249;;
PU0031;A;06/02/2020;1250;;
PU0753;A;06/02/2020;1250;;
PU0555;A;06/02/2020;1251;;
PU0568;A;06/02/2020;1252;;
PU0560;A;06/02/2020;1253;;
PU0103;A;06/02/2020;1253;;
PU0341;A;06/02/2020;1253;;
PU0021;A;06/02/2020;1253;;
PU0022;A;06/02/2020;1253;;
PU0014;A;06/02/2020;1253;;
PU0032;A;06/02/2020;1253;;
PU0521;A;06/02/2020;1254;;
PU0522;A;06/02/2020;1254;;
PU0604;A;06/02/2020;1254;;
PU0560;A;06/02/2020;1254;;
PU0551;A;06/02/2020;1254;;
PU0562;A;06/02/2020;1255;;
PU0609;A;06/02/2020;1256;;
PU0605;A;06/02/2020;1256;;
PU0550;A;06/02/2020;1256;;
PU0610;A;06/02/2020;1257;;
PU0607;A;06/02/2020;1258;;
PU0680;A;06/02/2020;1258;;
PU0549;A;06/02/2020;1258;;
PU0894;A;06/02/2020;1259;;
PU0536;A;06/02/2020;1259;;
PU0536;A;06/02/2020;1259;;
PU0608;A;06/02/2020;1259;;
PU0552;A;06/02/2020;1259;;
PU0644;A;06/02/2020;1300;;
PU0717;A;06/02/2020;1300;;
PU0548;A;06/02/2020;1300;;
PU0567;A;06/02/2020;1301;;
PU0564;A;06/02/2020;1301;;
PU0681;A;06/02/2020;1301;;
PU0042;A;06/02/2020;1307;;
PU0028;A;06/02/2020;1307;;
PU0103;A;06/02/2020;1320;;
PU0341;A;06/02/2020;1322;;
PU0753;A;06/02/2020;1324;;
PU0903;A;06/02/2020;1200;;
PU0565;A;06/02/2020;1200;;
PU0563;A;06/02/2020;1200;;
PU0545;A;06/02/2020;1200;;
PU0893;A;06/02/2020;1200;;
PU0553;A;06/02/2020;1200;;
